2018/06/20 09:25:44 [INFO] Scanning plugins...
2018/06/20 09:25:45 [INFO] Preparing spawn for world...
2018/06/20 09:25:45 [INFO] Preparing spawn for world: done
2018/06/20 09:25:45 [INFO] Preparing spawn for world_nether...
2018/06/20 09:25:46 [INFO] Preparing spawn for world_nether: done
2018/06/20 09:25:46 [INFO] Preparing spawn for world_the_end...
2018/06/20 09:25:47 [INFO] Preparing spawn for world_the_end: done
2018/06/20 09:25:47 [INFO] Binding server to 0.0.0.0:25565...
2018/06/20 09:25:48 [INFO] Successfully bound server to 0.0.0.0:25565.
2018/06/20 09:25:48 [INFO] Ready for connections.
2018/06/20 09:25:51 [WARNING] sending EncryptionKeyRequestMessage(sessionId=740da10190aa69cd, publicKey=[48, -127, -97, 48, 13, 6, 9, 42, -122, 72, -122, -9, 13, 1, 1, 1, 5, 0, 3, -127, -115, 0, 48, -127, -119, 2, -127, -127, 0, -44, 122, 47, -101, 70, 47, 11, 77, -87, -48, 85, 122, 36, -82, -63, -78, -119, -64, 3, -94, -29, 14, -39, 79, -81, 124, -110, -109, 77, 108, -31, -19, 118, 68, 102, 107, -14, 82, 103, 42, -12, 8, -23, 45, 42, -45, -118, 91, 113, 114, 62, 96, 46, -61, -58, 86, 34, 20, 50, 83, 74, -17, -89, 59, -69, -102, 99, 2, 12, -64, -53, -91, 40, 82, 71, 95, -89, 43, 90, -53, -12, 90, 106, 108, -71, 100, -28, 95, -108, -87, -34, 16, 36, 103, -71, -120, -33, 122, -31, 13, -83, -30, 98, -71, 126, 4, 33, -36, -15, 39, 6, -120, 118, -26, -17, 48, 13, 48, -90, -9, -40, -90, -96, -42, -87, 12, -30, -93, 2, 3, 1, 0, 1], verifyToken=[63, 126, 37, 105])
2018/06/20 09:25:55 [WARNING] sending SetCompressionMessage(threshold=256)
2018/06/20 09:25:55 [WARNING] sending LoginSuccessMessage(uuid=01c283dc-bc42-43ca-9b00-38ec401d2082, username=RonjaMD)
2018/06/20 09:25:55 [WARNING] sending JoinGameMessage(id=0, mode=1, dimension=0, difficulty=2, maxPlayers=20, levelType=flat, reducedDebugInfo=false)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending PluginMessage(channel=MC|Brand, data=[9, 71, 108, 111, 119, 115, 116, 111, 110, 101, 0, 0, 0, 0])
2018/06/20 09:25:55 [WARNING] sending SetWindowSlotMessage(id=-1, slot=-1, item=ItemStack{AIR x 0})
2018/06/20 09:25:55 [WARNING] sending CloseWindowMessage(id=0)
2018/06/20 09:25:55 [WARNING] sending SetWindowContentsMessage(id=0, items=[ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}, ItemStack{AIR x 0}])
2018/06/20 09:25:55 [WARNING] sending PositionRotationMessage(x=4.029337567061844, y=4.0, z=36.21094497429776, rotation=221.10095, pitch=60.89995, flags=0, teleportId=0)
2018/06/20 09:25:55 [WARNING] sending EntityVelocityMessage(id=0, velocityX=0, velocityY=0, velocityZ=0)
2018/06/20 09:25:55 [WARNING] sending HealthMessage(health=20.0, food=20, saturation=0.0)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending HeldItemMessage(slot=1)
2018/06/20 09:25:55 [WARNING] sending ExperienceMessage(barValue=0.0, level=0, totalExp=0)
2018/06/20 09:25:55 [WARNING] sending ExperienceMessage(barValue=0.0, level=0, totalExp=0)
2018/06/20 09:25:55 [WARNING] sending ExperienceMessage(barValue=0.0, level=0, totalExp=0)
2018/06/20 09:25:55 [WARNING] sending HealthMessage(health=20.0, food=20, saturation=0.0)
2018/06/20 09:25:55 [WARNING] sending HealthMessage(health=20.0, food=20, saturation=0.0)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending PlayerAbilitiesMessage(flags=13, flySpeed=0.05, walkSpeed=0.1)
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-2, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-2, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-2, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=4, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=2, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=4, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=2, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-2, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=4, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=2, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-3, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=-1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
